|    a     |    b     |    c     |    d     |    e     |    f     |    g     |    h     |  sel  |   out    |
| 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 |  000  | 00000000 |
| 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 |  001  | 00000000 |
| 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 |  010  | 00000000 |
| 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 |  011  | 00000000 |
| 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 |  100  | 00000000 |
| 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 |  101  | 00000000 |
| 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 |  110  | 00000000 |
| 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 |  111  | 00000000 |
| 00010010 | 00100011 | 00110100 | 01000101 | 01010110 | 01100111 | 01111000 | 10001001 |  000  | 00010010 |
| 00010010 | 00100011 | 00110100 | 01000101 | 01010110 | 01100111 | 01111000 | 10001001 |  001  | 00100011 |
| 00010010 | 00100011 | 00110100 | 01000101 | 01010110 | 01100111 | 01111000 | 10001001 |  010  | 00110100 |
| 00010010 | 00100011 | 00110100 | 01000101 | 01010110 | 01100111 | 01111000 | 10001001 |  011  | 01000101 |
| 00010010 | 00100011 | 00110100 | 01000101 | 01010110 | 01100111 | 01111000 | 10001001 |  100  | 01010110 |
| 00010010 | 00100011 | 00110100 | 01000101 | 01010110 | 01100111 | 01111000 | 10001001 |  101  | 01100111 |
| 00010010 | 00100011 | 00110100 | 01000101 | 01010110 | 01100111 | 01111000 | 10001001 |  110  | 01111000 |
| 00010010 | 00100011 | 00110100 | 01000101 | 01010110 | 01100111 | 01111000 | 10001001 |  111  | 10001001 |
