| time | in |load |address|out |
| 0+   | 00 |  0  |    0  | 00 |
| 1    | 00 |  0  |    0  | 00 |
| 1+   | 00 |  1  |    0  | 00 |
| 2    | 00 |  1  |    0  | 00 |
| 2+   | 82 |  0  |    0  | 00 |
| 3    | 82 |  0  |    0  | 00 |
| 3+   | 82 |  1  |  130  | 00 |
| 4    | 82 |  1  |  130  | 82 |
| 4+   | 82 |  0  |    0  | 00 |
| 5    | 82 |  0  |    0  | 00 |
| 5+   | 2f |  0  |  472  | 00 |
| 6    | 2f |  0  |  472  | 00 |
| 6+   | 2f |  1  |  472  | 00 |
| 7    | 2f |  1  |  472  | 2f |
| 7+   | 2f |  0  |  472  | 2f |
| 8    | 2f |  0  |  472  | 2f |
| 8    | 2f |  0  |  130  | 82 |
| 8+   | 33 |  0  |  130  | 82 |
| 9    | 33 |  0  |  130  | 82 |
| 9+   | 33 |  1  |  511  | 00 |
| 10   | 33 |  1  |  511  | 33 |
| 10+  | 33 |  0  |  511  | 33 |
| 11   | 33 |  0  |  511  | 33 |
| 11   | 33 |  0  |  472  | 2f |
| 11   | 33 |  0  |  511  | 33 |
| 11+  | 33 |  0  |  168  | 00 |
| 12   | 33 |  0  |  168  | 00 |
| 12   | 33 |  0  |  169  | 00 |
| 12   | 33 |  0  |  170  | 00 |
| 12   | 33 |  0  |  171  | 00 |
| 12   | 33 |  0  |  172  | 00 |
| 12   | 33 |  0  |  173  | 00 |
| 12   | 33 |  0  |  174  | 00 |
| 12   | 33 |  0  |  175  | 00 |
| 12+  | 55 |  1  |  168  | 00 |
| 13   | 55 |  1  |  168  | 55 |
| 13+  | 55 |  1  |  169  | 00 |
| 14   | 55 |  1  |  169  | 55 |
| 14+  | 55 |  1  |  170  | 00 |
| 15   | 55 |  1  |  170  | 55 |
| 15+  | 55 |  1  |  171  | 00 |
| 16   | 55 |  1  |  171  | 55 |
| 16+  | 55 |  1  |  172  | 00 |
| 17   | 55 |  1  |  172  | 55 |
| 17+  | 55 |  1  |  173  | 00 |
| 18   | 55 |  1  |  173  | 55 |
| 18+  | 55 |  1  |  174  | 00 |
| 19   | 55 |  1  |  174  | 55 |
| 19+  | 55 |  1  |  175  | 00 |
| 20   | 55 |  1  |  175  | 55 |
| 20+  | 55 |  0  |  168  | 55 |
| 21   | 55 |  0  |  168  | 55 |
| 21   | 55 |  0  |  169  | 55 |
| 21   | 55 |  0  |  170  | 55 |
| 21   | 55 |  0  |  171  | 55 |
| 21   | 55 |  0  |  172  | 55 |
| 21   | 55 |  0  |  173  | 55 |
| 21   | 55 |  0  |  174  | 55 |
| 21   | 55 |  0  |  175  | 55 |
| 21+  | aa |  1  |  168  | 55 |
| 22   | aa |  1  |  168  | aa |
| 22+  | aa |  0  |  168  | aa |
| 23   | aa |  0  |  168  | aa |
| 23   | aa |  0  |  169  | 55 |
| 23   | aa |  0  |  170  | 55 |
| 23   | aa |  0  |  171  | 55 |
| 23   | aa |  0  |  172  | 55 |
| 23   | aa |  0  |  173  | 55 |
| 23   | aa |  0  |  174  | 55 |
| 23   | aa |  0  |  175  | 55 |
| 23+  | 55 |  1  |  168  | aa |
| 24   | 55 |  1  |  168  | 55 |
| 24+  | aa |  1  |  169  | 55 |
| 25   | aa |  1  |  169  | aa |
| 25+  | aa |  0  |  168  | 55 |
| 26   | aa |  0  |  168  | 55 |
| 26   | aa |  0  |  169  | aa |
| 26   | aa |  0  |  170  | 55 |
| 26   | aa |  0  |  171  | 55 |
| 26   | aa |  0  |  172  | 55 |
| 26   | aa |  0  |  173  | 55 |
| 26   | aa |  0  |  174  | 55 |
| 26   | aa |  0  |  175  | 55 |
| 26+  | 55 |  1  |  169  | aa |
| 27   | 55 |  1  |  169  | 55 |
| 27+  | aa |  1  |  170  | 55 |
| 28   | aa |  1  |  170  | aa |
| 28+  | aa |  0  |  168  | 55 |
| 29   | aa |  0  |  168  | 55 |
| 29   | aa |  0  |  169  | 55 |
| 29   | aa |  0  |  170  | aa |
| 29   | aa |  0  |  171  | 55 |
| 29   | aa |  0  |  172  | 55 |
| 29   | aa |  0  |  173  | 55 |
| 29   | aa |  0  |  174  | 55 |
| 29   | aa |  0  |  175  | 55 |
| 29+  | 55 |  1  |  170  | aa |
| 30   | 55 |  1  |  170  | 55 |
| 30+  | aa |  1  |  171  | 55 |
| 31   | aa |  1  |  171  | aa |
| 31+  | aa |  0  |  168  | 55 |
| 32   | aa |  0  |  168  | 55 |
| 32   | aa |  0  |  169  | 55 |
| 32   | aa |  0  |  170  | 55 |
| 32   | aa |  0  |  171  | aa |
| 32   | aa |  0  |  172  | 55 |
| 32   | aa |  0  |  173  | 55 |
| 32   | aa |  0  |  174  | 55 |
| 32   | aa |  0  |  175  | 55 |
| 32+  | 55 |  1  |  171  | aa |
| 33   | 55 |  1  |  171  | 55 |
| 33+  | aa |  1  |  172  | 55 |
| 34   | aa |  1  |  172  | aa |
| 34+  | aa |  0  |  168  | 55 |
| 35   | aa |  0  |  168  | 55 |
| 35   | aa |  0  |  169  | 55 |
| 35   | aa |  0  |  170  | 55 |
| 35   | aa |  0  |  171  | 55 |
| 35   | aa |  0  |  172  | aa |
| 35   | aa |  0  |  173  | 55 |
| 35   | aa |  0  |  174  | 55 |
| 35   | aa |  0  |  175  | 55 |
| 35+  | 55 |  1  |  172  | aa |
| 36   | 55 |  1  |  172  | 55 |
| 36+  | aa |  1  |  173  | 55 |
| 37   | aa |  1  |  173  | aa |
| 37+  | aa |  0  |  168  | 55 |
| 38   | aa |  0  |  168  | 55 |
| 38   | aa |  0  |  169  | 55 |
| 38   | aa |  0  |  170  | 55 |
| 38   | aa |  0  |  171  | 55 |
| 38   | aa |  0  |  172  | 55 |
| 38   | aa |  0  |  173  | aa |
| 38   | aa |  0  |  174  | 55 |
